source	detector	w661			w735			w785			w808			w826			w849		
5	2	1	0.01090653	160.3479156	1	0.00020054	173.539444	1	0.007765926	122.9592438	1	0.010065673	295.0351257	1	0.008270242	245.2026062	1	0.001462557	179.6930237
5	3	1	0.004620006	185.6568604	1	0.000830181	157.1885071	1	0.004514274	136.6421051	1	0.004488222	314.3317261	1	0.004676947	255.0734558	1	0.00049627	165.4026794
5	4	1	0.030950328	174.0864258	1	0.00829318	112.8819199	1	0.029019432	131.7505951	1	0.027491752	310.802124	1	0.032555167	256.4818726	1	0.010098822	156.3442841
6	7	1	0.740833819	106.8158798	1	0.012954753	126.3077621	1	0.388110012	59.79591751	1	0.568100691	235.4830933	1	0.207553715	199.8669434	1	0.013433475	137.3530121
6	8	1	1.36971E-05	223.0099792	1	6.0269E-06	148.9170837	1	1.58849E-05	192.8634949	1	1.94021E-05	368.6515808	1	1.29926E-05	317.9932861	1	9.8747E-06	192.2021942
6	9	1	0.029183649	126.3564987	1	0.000338025	147.8249817	1	0.014941012	101.9334641	1	0.023150722	270.8652649	1	0.011561998	227.022522	1	0.00136062	165.0619659
6	10	1	0.017498571	130.0351868	1	0.000166715	150.6627808	1	0.008959306	103.3470535	1	0.011439845	276.4757996	1	0.011523417	231.1795197	1	0.000543498	167.2989197
6	11	1	0.01323479	130.1930237	1	0.000103352	150.4857941	1	0.005450161	102.932457	1	0.010073152	275.1835632	1	0.006441277	226.6126404	1	0.000297823	164.1112823
6	12	1	0.005393548	130.3317261	1	3.72129E-05	154.4774323	1	0.002386192	107.9141312	1	0.004554679	280.1665039	1	0.002317831	229.7148132	1	0.000131584	166.9004517
6	13	1	0.00178637	164.3511658	1	3.61237E-05	192.6258698	1	0.000814013	153.6021576	1	0.00200587	320.8233948	1	0.00079188	274.8552551	1	9.79093E-05	213.3041229
6	14	1	0.000196497	151.1493378	1	4.2658E-06	156.0847473	1	8.47677E-05	136.2522125	1	0.000169158	311.9578552	1	7.21859E-05	261.2608643	1	1.20627E-05	182.7035217
6	15	1	0.000132463	143.7803802	1	0.000002901	174.4026642	1	6.52022E-05	129.5520477	1	9.62845E-05	292.1741638	1	5.83128E-05	250.0330353	1	6.1563E-06	196.5557861
6	16	1	0.000222295	145.2631836	1	0.000021083	172.9171143	1	0.000114813	114.4081268	1	0.000193359	281.1063538	1	0.000135382	240.5224915	1	4.17272E-05	193.1640778
6	1	1	0.001586815	148.1591339	1	3.36117E-05	130.1571045	1	0.001139532	124.8267975	1	0.001191492	294.3043823	1	0.001045922	244.0127869	1	7.62696E-05	157.1044312
6	2	1	0.00095474	167.8898926	1	2.43428E-05	184.0256653	1	0.001057685	136.3556061	1	0.000885255	310.4806824	1	0.001176714	255.5341034	1	9.99374E-05	187.3185272
6	3	1	0.011035497	156.2017365	1	0.000189116	173.0158539	1	0.007468496	119.5411224	1	0.010054451	292.5882568	1	0.008497455	239.8493042	1	0.001507747	175.3615875
6	4	1	0.00468234	180.9036102	1	0.000836999	155.5921326	1	0.004562401	131.3978119	1	0.00455728	311.9464111	1	0.004776381	250.7144775	1	0.000508031	162.0235596
6	5	1	0.031631857	171.3516846	1	0.007740544	113.6555939	1	0.029282404	129.4809875	1	0.028017417	310.3295288	1	0.03283954	255.8841553	1	0.010200812	155.0495911
7	8	1	0.04880086	53.53220749	1	0.000499794	102.7216568	1	0.067277357	377.1241455	1	0.070474401	188.3903809	1	0.055329349	137.5949707	1	0.00157867	104.0124512
7	9	1	2.96249E-05	303.0718079	1	9.6977E-06	139.1873169	1	1.25476E-05	203.9269867	1	1.24791E-05	27.34549141	1	1.12945E-05	0.403574377	1	8.6471E-06	173.3907623
7	10	1	0.039878018	133.4976044	1	0.000920444	155.5241089	1	0.021682095	106.7346802	1	0.024917308	275.4244995	1	0.019393966	235.3957214	1	0.001776187	171.8292542
7	11	1	0.020080783	134.3075562	1	0.000189993	154.2181854	1	0.008846285	107.9294739	1	0.012420227	279.8918762	1	0.011376387	234.8715057	1	0.000543771	170.3422241
7	12	1	0.012236491	132.9801788	1	0.000109665	152.9836273	1	0.005110377	106.8736801	1	0.009301033	277.930603	1	0.005073858	230.6275482	1	0.000223876	167.7528381
